fyear,at,bkvlps,invt,Lt,rectr,cogs,dvt,ebit,gp,ni,oiadp,revt,dvpsx_f,mkvalt,prch_f,Bankrupt
2002,25.474,1.6566,7.135,7.087,5.482,15.594,0,-1.213,10.626,-1.425,-1.213,26.22,0,44.396,6,yes
2002,38.935,2.1641,25.195,21.25,5.763,71.707,0,1.614,23.907,1.218,1.614,95.614,0,57.5309,16.89,no
2002,175.108,-1.9415,46.666,181.148,7.246,437.532,0,-4.66,161.92,-17.843,-4.66,599.452,0,0.6222,1.55,yes
2002,148.442,10.5264,0,130.684,7.341,38.006,0,-3.023,4.096,-2.572,-3.023,42.102,0,8.435,9,yes
2002,147.124,-5.8527,9.141,432.214,7.442,0,0,-9.59,0,-91.613,-9.59,0,0,0.0487,0.29,yes
2002,20.836,0.927,9.025,9.108,7.587,19.327,0,4.071,9.86,2.454,4.071,29.187,0,36.0582,5.5,no
2002,110.974,18.2593,7.44,87.949,8.583,43.606,0.176,3.722,31.285,0.428,3.722,74.891,0.14,6.6203,7.8,no
2002,42.779,4.1261,24.032,11.532,9.966,98.7,0.682,2.132,7.383,1.432,2.132,106.083,0.08,18.2509,3.18,no
2002,671.15,-21.9694,8.885,1153.946,10.253,346.092,0,-1.684,70.623,-222.002,-1.684,416.715,0,2.4481,0.47,yes
2002,57.335,4.714,29.335,34.903,11.12,51.016,0,4.359,25.566,-3.286,4.359,76.582,0,31.349,8.55,no
2002,18.735,6.035,0,4.752,11.924,1.979,0.957,7.039,7.089,4.901,7.039,9.068,0.4,94.3019,42.75,no
2002,575.138,6.0929,14.317,299.77,13.87,676.736,0,62.633,83.788,39.286,62.633,760.524,0,543.6959,30.23,yes
2002,236.839,3.6679,48.302,211.897,14.479,222.903,0,56.612,152.853,6.444,56.612,375.756,0,0.884,0.53,yes
2002,43.512,6.9404,0,4.833,16.382,52.017,0,8.38,30.155,5.271,8.38,82.172,0,56.566,18.9048,yes
2002,1150.481,15.1689,615.256,481.76,19.019,1242.776,0,114.269,941.94,69.246,114.269,2184.716,0,996.321,37.35,yes
2002,442.161,0.3688,5.096,359.862,21.746,312.986,0,-192.62,70.51,-184.828,-192.62,383.496,0,209.792,3.1,yes
2002,538.221,0.2654,2.751,516.612,21.762,172.898,0,-85.169,47.907,-117.387,-85.169,220.805,0,32.5728,8.26,yes
2002,463.365,9.826,157.242,365.105,23.687,1196.545,0,21.914,101.286,16.417,21.914,1297.831,0,20,9.5,yes
2002,351.41,7.7434,42.73,234.546,24.501,617.05,0,19.923,70.118,-51.866,19.923,687.168,0,122.698,11.55,yes
2002,134.562,1.7483,45.177,66.747,24.593,276.878,0,19.537,70.906,21.5,19.537,347.784,0,188.6014,7.94,yes
2002,384.22,5.6829,0,192.298,25.824,40.972,3.33,-3.146,93.059,-8.799,-3.146,134.031,0,294.785,11.8,yes
2002,405.812,1.8938,169.981,364.01,25.838,158.429,0,44.422,178.117,-52.703,44.422,336.546,0,64.0117,5.25,yes
2002,587.844,5.3571,5.959,428.877,25.857,403.817,0,-30.624,66.119,-22.843,-30.624,469.936,0,147.4798,20,yes
2002,27.806,4.4262,0,1.249,26.556,0,8.822,8.818,9.049,8.822,8.818,9.049,1.4704,117,20.23,no
2002,78.615,0.4424,0,67.469,26.876,114.794,0,2.431,33.926,-2.833,2.431,148.72,0,15.4954,2.75,yes
2002,247.359,2.1976,59.736,187.88,27.66,205.606,0.135,2.636,42.492,-61.887,2.636,248.098,0.005,42.4936,2.68,yes
2002,152.846,13.0495,35.587,41.39,29.234,145.589,5.55,13.602,48.486,8.936,13.602,194.075,0.65,200.7135,31.5,no
2002,440.325,5.4241,27.519,340.875,29.467,81.458,0,55.442,149.052,17.314,55.442,230.51,0,257.0567,39.99,yes
2002,811.093,6.8745,2.946,675.934,29.562,720.02,0,70.601,130.023,13.415,70.601,850.043,0,260.5083,17.75,yes
2002,716.699,20.3145,182.832,164.267,30.188,1429.594,29.377,79.407,569.77,59.149,79.407,1999.364,1.08,844.3737,39.5,no
2002,520.683,-7.9036,0,1243.298,31.012,120.956,0,-49.059,109.238,-204.515,-49.059,230.194,0,0.64,0.2,yes
2002,225.81,9.0892,45.849,107.441,32.237,170.156,0,3.296,18.388,1.631,3.296,188.544,0,104.9654,12.5,yes
2002,181.325,7.3961,14.324,84.577,32.62,85.417,0,41.313,123.207,-61.813,41.313,208.624,0,168.7449,19.97,yes
2002,273.577,6.8524,57.117,211.841,32.942,207.102,0,18.988,70.435,0.692,18.988,277.537,0,35.3409,7.1,yes
2002,318.262,2.3576,48.848,224.809,33.017,362.865,4.128,30.703,82.735,11.369,30.703,445.6,0,44.302,4.45,yes
2002,297.088,6.2394,39.671,42.607,33.793,104.092,0,-31.868,54.978,-27.724,-31.868,159.07,0,245.9396,11.42,no
2002,352.595,7.5755,131.704,220.319,34.273,377.997,0.103,-4.371,160.146,-10.051,-4.371,538.143,0,71.8855,12.55,no
2002,398.136,1.4595,0,361.1,34.536,0.928,0,-53.235,148.867,-212.44,-53.235,149.795,0,13.9568,14.49,yes
2002,1251.422,-0.9333,94.68,1305.494,34.944,464.576,1.353,65.328,307.293,-513.083,65.328,771.869,0,60.1817,6.35,yes
2002,534.455,-6.0107,0,999.248,34.98,105.971,0,-159.197,59.622,-1102.51,-159.197,165.593,0,24.9291,2.3775,yes
2002,612.965,1.2499,33.385,574.81,39.833,419.841,0,4.94,64.336,-59.071,4.94,484.177,0,54.6433,6.8,yes
2002,221.192,-3.335,28.24,385.052,41.986,208.371,0,-20.336,40.455,-288.093,-20.336,248.826,0,10.8093,13.06,yes
2002,279.294,-3.1939,62.536,359.805,44.977,206.796,0,9.778,89.488,-130.785,9.778,296.284,0,16.8656,2.8,yes
2002,317.2,5.5222,14.925,189.24,46.241,197.836,0,-21.637,88.868,270.496,-21.637,286.704,0,100.3348,6,yes
2002,701.703,-0.0932,6.869,705.582,48.101,238.293,0,100.348,169.461,49.227,100.348,407.754,0,740.0392,22.2,yes
2002,291.407,11.3203,26.757,177.627,49.693,157.345,0,18.248,120.286,-16.326,18.248,277.631,0,87.3432,40,yes
2002,493.915,5.1272,64.569,457.686,50.386,310.571,0,35.418,86.628,-53.994,35.418,397.199,0,53.5603,9.75,yes
2002,553.52,5.1792,4.572,291.75,51.532,355.736,4.724,-55.468,59.23,-31.962,-55.468,414.966,0,104.2675,4.04,yes
2002,749.965,20.4846,85.907,500.554,55.024,589.259,351.673,32.62,115.069,-35.388,32.62,704.328,0,141.1763,12.97,yes
2002,160.411,10.579,78.237,70.204,57.36,178.901,0,3.73,24.258,1.094,3.73,203.159,0,48.1776,7.7,no
2002,428.006,-7.1722,66.042,656.492,58.25,420.271,0,33.166,93.528,-222.668,33.166,513.799,0,11.7871,1.25,yes
2002,485.508,1.2248,5.071,475.194,58.512,821.424,0,21.756,76.636,-7.526,21.756,898.06,0,28.1261,5.9,yes
2002,875.559,3.8924,114.575,749.759,59.603,1018.678,10.269,98.32,212.073,31.195,98.32,1230.751,0.32,747.8617,27.2,no
2002,612.9,10.9943,148.5,300.3,60.2,494.5,0,-29.8,29.2,-69.2,-29.8,523.7,0,423.3674,30.25,yes
2002,284.377,-64.216,0,603.659,61.101,190.788,4.043,-177.472,137.75,-445.491,-177.472,328.538,0,0.2486,28.0001,yes
